date,demanda_energia,tarifa_energia_real,pib_real,importacoes_petroleo,d_2001,d_2006,d_2008,d_2020
2014-05-01,14972000.0,510.206820904265,1010816.6531464182,143.17,0,0,0,0
2014-06-01,14713000.0,518.2018200542518,985354.1417128404,140.15,0,0,0,0
2014-07-01,14585000.0,530.8368942307836,1041535.8481651752,140.45,0,0,0,0
2014-08-01,15169000.0,555.9542185425271,1030240.5319737912,143.93,0,0,0,0
2014-09-01,15008000.0,570.0272517356576,1028885.2031011424,141.33,0,0,0,0
2014-10-01,14961000.0,578.3435307445296,1058877.418361715,139.97,0,0,0,0
2014-11-01,15292000.0,579.4576888997672,1038834.4404654832,133.85,0,0,0,0
2014-12-01,14693000.0,584.437037608841,1056854.905441349,124.71,0,0,0,0
2015-01-01,13761000.0,614.8783409732043,993212.7893358048,114.62,0,0,0,0
2015-02-01,14451000.0,623.6314102063255,961325.1212821392,100.56,0,0,0,0
2015-03-01,14599000.0,696.4834235903987,1035691.4764409004,82.67,0,0,0,0
2015-04-01,14647000.0,788.5083351909411,995288.5545699795,81.92,0,0,0,0
2015-05-01,14339000.0,795.8862615502958,984447.970738698,86.16,0,0,0,0
2015-06-01,14184000.0,792.9590514779268,984694.3631931829,88.3,0,0,0,0
2015-07-01,13959000.0,799.0945024031024,1010455.1905764712,89.42,0,0,0,0
2015-08-01,14292000.0,801.6051393225114,986853.9237965872,88.1,0,0,0,0
2015-09-01,14008000.0,787.0153948310125,979949.7278462471,81.64,0,0,0,0
2015-10-01,14159000.0,769.468992357508,1007314.4544143646,79.07,0,0,0,0
2015-11-01,13912000.0,768.6183020719021,985857.5038312068,78.78,0,0,0,0
2015-12-01,13410000.0,780.8582379218457,997009.8850569428,71.47,0,0,0,0
2016-01-01,12661000.0,776.859807272647,922465.0931597832,66.89,0,0,0,0
2016-02-01,13525000.0,764.8044340125925,916593.1683674374,68.99,0,0,0,0
2016-03-01,13963000.0,746.7318203797843,960948.2740350452,61.93,0,0,0,0
2016-04-01,14014000.0,729.5609023262239,940967.3459425544,60.13,0,0,0,0
2016-05-01,13976000.0,719.8305371479577,939992.5646563064,57.04,0,0,0,0
2016-06-01,13922000.0,707.1601483084394,966708.4296826372,63.11,0,0,0,0
2016-07-01,14126000.0,702.8024429833749,964140.7983834842,67.34,0,0,0,0
2016-08-01,14262000.0,674.1172528787974,963280.34900045,68.6,0,0,0,0
2016-09-01,14092000.0,706.7595391567742,918355.7342948786,66.03,0,0,0,0
2016-10-01,13973000.0,690.7915794733236,944477.7076486796,70.1,0,0,0,0
2016-11-01,13952000.0,688.5337018781788,973427.9874071856,73.27,0,0,0,0
2016-12-01,13544000.0,681.7441645941399,1008646.4266637448,78.39,0,0,0,0
2017-01-01,13191000.0,688.710299852663,934715.0983231366,73.87,0,0,0,0
2017-02-01,13491000.0,680.2092220579225,912077.9134790228,76.22,0,0,0,0
2017-03-01,13937000.0,693.8296598843223,969324.31642028,79.78,0,0,0,0
2017-04-01,14182000.0,673.1563132425085,947099.5295820214,79.47,0,0,0,0
2017-05-01,13665000.0,673.7057977420264,994817.6163306944,79.11,0,0,0,0
2017-06-01,14017000.0,711.1364456906958,1018917.1951669648,77.16,0,0,0,0
2017-07-01,14061000.0,708.4379797963871,1023214.0303043444,74.92,0,0,0,0
2017-08-01,14328000.0,737.3732656113193,1017322.6354009836,76.02,0,0,0,0
2017-09-01,14305000.0,739.0881412467265,962451.2155018268,79.91,0,0,0,0
2017-10-01,14263000.0,760.7592285507315,998637.901573192,83.09,0,0,0,0
2017-11-01,14409000.0,788.2163067614694,1021200.9172600632,89.64,0,0,0,0
2017-12-01,14181000.0,774.2602496754243,1054310.4128764777,91.73,0,0,0,0
2018-01-01,13900000.0,756.2854213159094,989048.7947837426,89.58,0,0,0,0
2018-02-01,13563000.0,715.1238764552173,940043.0644888238,93.83,0,0,0,0
2018-03-01,14731000.0,710.1599276329896,989979.0967053344,92.98,0,0,0,0
2018-04-01,14378000.0,713.3208612741696,979524.67301065,91.94,0,0,0,0
2018-05-01,13863000.0,724.2590888671843,942453.4281727452,99.13,0,0,0,0
2018-06-01,13778000.0,769.1733762453024,985891.663301209,102.44,0,0,0,0
2018-07-01,14523000.0,810.0261892929452,985556.8584726816,101.83,0,0,0,0
2018-08-01,14682000.0,815.3165416899551,978399.8511717956,104.88,0,0,0,0
2018-09-01,14164000.0,815.3532617184934,918343.0907482676,107.06,0,0,0,0
2018-10-01,14659000.0,824.7334573587082,973881.651386022,107.26,0,0,0,0
2018-11-01,14409000.0,807.0575395176544,988345.245822908,106.87,0,0,0,0
2018-12-01,13796000.0,773.3860095541158,1008239.0031645376,102.22,0,0,0,0
2019-01-01,13933000.0,790.460979775406,966269.5529245564,94.41,0,0,0,0
2019-02-01,13574000.0,761.773195839047,937069.8613201824,85.08,0,0,0,0
2019-03-01,14070000.0,759.9004518408448,945412.2555017516,89.0,0,0,0,0
2019-04-01,13930000.0,752.1311170427808,959213.3708766404,92.42,0,0,0,0
2019-05-01,14236000.0,764.5422615547396,974230.6741484256,94.68,0,0,0,0
2019-06-01,13865000.0,762.8387921442365,958004.4602996628,94.0,0,0,0,0
2019-07-01,14110000.0,770.4256186503494,1004167.7384753926,90.83,0,0,0,0
2019-08-01,14196000.0,808.1447895100173,991783.043291796,89.26,0,0,0,0
2019-09-01,13901000.0,799.3646713351044,983694.0932915764,84.74,0,0,0,0
2019-10-01,14436000.0,785.6019202449872,1021562.9360198622,86.96,0,0,0,0
2019-11-01,14218000.0,774.843251032415,1002664.5772381256,88.15,0,0,0,0
2019-12-01,13610000.0,757.1314147991478,1003395.649037352,87.37,0,0,0,0
2020-01-01,13533000.0,768.8338242029615,958140.4890691343,90.93,0,0,0,0
2020-02-01,13898000.0,732.7373151454016,945736.3716939308,87.03,0,0,0,0
2020-03-01,14141000.0,713.2453285184264,940431.9296930574,76.78,0,0,0,0
2020-04-01,12178000.0,737.8216989692214,847011.3959038384,58.57,0,0,0,1
2020-05-01,12327000.0,729.8516784826867,847461.5943828487,49.99,0,0,0,0
2020-06-01,12565000.0,705.9934293360233,878535.654905635,49.27,0,0,0,0
2020-07-01,13928000.0,688.3767921265652,913831.572064175,60.23,0,0,0,0
2020-08-01,14554000.0,663.0911479233129,873406.5223519519,59.88,0,0,0,0
2020-09-01,14666000.0,638.3340680869333,859202.5707757572,61.67,0,0,0,0
2020-10-01,15281000.0,619.7507090018663,862473.4765161001,60.57,0,0,0,0
2020-11-01,14770000.0,626.2118141523721,845416.5985174491,64.44,0,0,0,0
2020-12-01,14686000.0,655.901537457114,864090.399494685,69.13,0,0,0,0
2021-01-01,14836000.0,674.164621533247,801350.5912037529,69.23,0,0,0,0
2021-02-01,14400000.0,597.5874896693692,807015.3257173069,76.44,0,0,0,0
2021-03-01,15600000.0,587.9717825564514,859650.5346803884,83.08,0,0,0,0
2021-04-01,15219000.0,570.1878106298537,815452.3173790206,86.71,0,0,0,0
2021-05-01,15280000.0,571.5334017226181,786961.2125141369,90.06,0,0,0,0
2021-06-01,15009000.0,603.3746019250419,789142.1666704529,93.53,0,0,0,0
2021-07-01,15314000.0,624.8134605864064,808545.4556873179,98.12,0,0,0,0
2021-08-01,15452000.0,657.9720767631477,806980.3733750132,102.47,0,0,0,0
2021-09-01,15178000.0,681.4274142030179,817096.0176670906,108.18,0,0,0,0
2021-10-01,15548000.0,712.138733151212,814525.3852437427,111.2,0,0,0,0
2021-11-01,15362000.0,718.9227427893785,836887.8079941486,115.37,0,0,0,0
2021-12-01,15087000.0,720.4756787520981,838634.1167621729,113.07,0,0,0,0
2022-01-01,14779000.0,715.6887510343375,759179.6331822012,116.3,0,0,0,0
2022-02-01,14446000.0,695.0603115068543,780280.174000836,120.97,0,0,0,0
2022-03-01,15496000.0,683.2495280573071,847842.6480228463,136.46,0,0,0,0
2022-04-01,15443000.0,661.3311203307728,825114.5045575168,163.46,0,0,0,0
2022-05-01,15521000.0,594.0590275664143,825782.6661117717,164.83,0,0,0,0
2022-06-01,15380000.0,547.1812152414487,820668.1323023998,171.96,0,0,0,0
2022-07-01,15812000.0,559.4547882183472,850610.2815901273,169.44,0,0,0,0
2022-08-01,16022000.0,565.054868795861,856411.7962841381,163.67,0,0,0,0
2022-09-01,15693000.0,576.3649908436754,849508.9620166423,153.83,0,0,0,0
2022-10-01,15720000.0,589.5274647937296,896857.0310887522,156.03,0,0,0,0
